age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi,actual_class,predicted_class,prediction_correct,error_type,actual_high_risk,predicted_high_risk
32.0,Female,Married,Professional,45500.0,Government,0.6,Large Indian,Family,0.0,4,3,0.0,0.0,2600.0,8400.0,3600.0,No,0.0,637.0,300100.0,78900.0,Education EMI,435000.0,21,Not_Eligible,13596.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Graduate,55000.0,Private,5.7,MNC,Family,7155.0,3,2,3200.0,0.0,5000.0,14500.0,5600.0,Yes,10800.0,585.0,400300.0,198500.0,Home Appliances EMI,155000.0,26,Not_Eligible,4897.2,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Married,Graduate,62600.0,Self-employed,2.6,Large Indian,Own,0.0,3,2,0.0,13100.0,5100.0,17500.0,11500.0,Yes,7600.0,692.0,342100.0,170800.0,E-commerce Shopping EMI,72000.0,24,Not_Eligible,2457.0,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Male,Single,Graduate,44300.0,Government,0.5,Startup,Rented,8300.0,2,1,0.0,25000.0,6000.0,11400.0,7900.0,No,0.0,731.0,203700.0,43600.0,Home Appliances EMI,273000.0,10,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
58.0,Female,Married,Professional,141500.0,Government,9.5,MNC,Rented,45600.0,4,3,4100.0,0.0,13200.0,34700.0,10000.0,Yes,33800.0,764.0,771800.0,364800.0,Education EMI,149000.0,26,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
58.0,Female,Married,Post Graduate,81100.0,Private,7.7,MNC,Rented,16500.0,3,2,12800.0,0.0,9700.0,21200.0,5700.0,Yes,13700.0,677.0,615800.0,276400.0,Home Appliances EMI,106000.0,18,Not_Eligible,577.5,Not_Eligible,Not_Eligible,True,Correct,False,False
27.0,Female,Married,Graduate,46400.0,Private,2.9,Startup,Own,0.0,2,1,4600.0,0.0,4400.0,13000.0,8300.0,Yes,7900.0,689.0,173600.0,71900.0,Education EMI,277000.0,16,Not_Eligible,2870.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Professional,130200.0,Government,15.6,Startup,Rented,27100.0,2,1,0.0,14100.0,18900.0,33300.0,8400.0,Yes,17600.0,805.0,388900.0,173500.0,Personal Loan EMI,956000.0,59,Not_Eligible,4989.6,Not_Eligible,Not_Eligible,True,Correct,False,False
32.0,Female,Single,Post Graduate,31500.0,Private,3.0,Mid-size,Rented,5200.0,2,1,0.0,19900.0,4600.0,8000.0,4200.0,Yes,6200.0,668.0,119400.0,37400.0,Vehicle EMI,185000.0,47,Not_Eligible,500.0,Not_Eligible,Not_Eligible,True,Correct,False,False
38.0,Male,Married,Graduate,26100.0,Self-employed,6.4,MNC,Family,0.0,2,1,8800.0,0.0,1700.0,4000.0,3100.0,No,0.0,659.0,41400.0,11800.0,Education EMI,459000.0,24,Not_Eligible,3060.0,Not_Eligible,Not_Eligible,True,Correct,False,False
