feature,importance,importance_percentage
numerical__requested_amount_per_month,4923,18.23333333333333
numerical__disposable_income,4177,15.47037037037037
numerical__expense_to_income_ratio,2112,7.822222222222222
numerical__credit_score,1970,7.296296296296297
numerical__requested_amount_to_income_ratio,1748,6.474074074074074
numerical__bank_balance,1691,6.2629629629629635
numerical__current_emi_amount,1054,3.9037037037037035
numerical__years_of_employment,907,3.359259259259259
numerical__requested_tenure,876,3.2444444444444445
numerical__monthly_salary,664,2.4592592592592593
numerical__emergency_fund,663,2.4555555555555557
numerical__requested_amount,623,2.3074074074074074
numerical__emi_to_income_ratio,620,2.2962962962962963
numerical__groceries_utilities,480,1.7777777777777777
numerical__monthly_rent,473,1.751851851851852
numerical__travel_expenses,437,1.6185185185185185
numerical__total_monthly_living_expenses,405,1.5
numerical__other_monthly_expenses,391,1.4481481481481482
numerical__total_education_expenses,381,1.411111111111111
categorical__house_type_Rented,324,1.2
numerical__total_monthly_expenses,281,1.0407407407407407
categorical__employment_type_Government,247,0.9148148148148149
categorical__emi_scenario_Personal Loan EMI,190,0.7037037037037037
categorical__emi_scenario_Vehicle EMI,174,0.6444444444444445
categorical__employment_type_Private,161,0.5962962962962963
numerical__school_fees,132,0.4888888888888889
numerical__college_fees,124,0.45925925925925926
categorical__employment_type_Self-employed,118,0.437037037037037
numerical__family_size,68,0.2518518518518518
numerical__age,60,0.2222222222222222
categorical__existing_loans_Yes,44,0.16296296296296295
categorical__emi_scenario_Home Appliances EMI,41,0.15185185185185185
categorical__house_type_Family,36,0.13333333333333333
categorical__company_type_Large Indian,33,0.12222222222222222
categorical__company_type_MNC,33,0.12222222222222222
categorical__existing_loans_No,32,0.11851851851851852
categorical__education_Graduate,31,0.11481481481481481
categorical__house_type_Own,30,0.1111111111111111
categorical__company_type_Mid-size,25,0.0925925925925926
categorical__emi_scenario_Education EMI,21,0.07777777777777778
categorical__education_High School,20,0.07407407407407407
categorical__emi_scenario_E-commerce Shopping EMI,19,0.07037037037037036
categorical__company_type_Small,19,0.07037037037037036
categorical__gender_Male,19,0.07037037037037036
categorical__gender_Female,18,0.06666666666666667
categorical__company_type_Startup,18,0.06666666666666667
categorical__marital_status_Married,18,0.06666666666666667
categorical__education_Post Graduate,17,0.06296296296296296
numerical__dependents,14,0.05185185185185185
categorical__education_Professional,11,0.04074074074074074
categorical__marital_status_Single,8,0.02962962962962963
categorical__gender_MALE,7,0.025925925925925925
categorical__gender_FEMALE,7,0.025925925925925925
categorical__gender_M,2,0.007407407407407408
categorical__gender_F,2,0.007407407407407408
categorical__gender_male,1,0.003703703703703704
categorical__gender_female,0,0.0
