age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi,actual_emi_eligibility,predicted_emi_eligibility,prediction_correct,prediction_error
48.0,Female,Married,Graduate,37800.0,Private,2.2,Startup,Family,0.0,4,3,14100.0,0.0,2800.0,6900.0,2800.0,No,0.0,702.0,275300.0,128300.0,Education EMI,134000.0,33,Eligible,6160.0,Eligible,High_Risk,False,True
48.0,Female,Single,Post Graduate,20200.0,Self-employed,21.1,Startup,Family,0.0,2,1,0.0,0.0,2900.0,4200.0,2500.0,No,0.0,850.0,86800.0,47700.0,Vehicle EMI,182000.0,52,Eligible,5724.0,Eligible,High_Risk,False,True
48.0,Male,Married,Graduate,51300.0,Self-employed,16.4,Small,Own,0.0,5,4,0.0,7900.0,7200.0,15300.0,6900.0,No,0.0,749.0,179200.0,72200.0,Education EMI,125000.0,29,High_Risk,6300.0,High_Risk,Eligible,False,True
32.0,Male,Married,Professional,111100.0,Self-employed,1.4,Mid-size,Own,0.0,5,4,0.0,0.0,10500.0,33300.0,7400.0,No,0.0,572.0,608800.0,233000.0,Personal Loan EMI,673000.0,57,High_Risk,21564.0,High_Risk,Eligible,False,True
48.0,Female,Married,Graduate,45000.0,Private,0.5,MNC,Family,0.0,4,3,0.0,0.0,3600.0,7300.0,3700.0,Yes,6900.0,656.0,126400.0,41700.0,Personal Loan EMI,205000.0,54,High_Risk,6580.0,High_Risk,Eligible,False,True
32.0,Male,Married,Post Graduate,73500.0,Private,10.0,MNC,Own,0.0,3,2,2500.0,0.0,8000.0,11900.0,8600.0,Yes,17500.0,664.0,40300.0,22900.0,Vehicle EMI,357000.0,71,High_Risk,7000.0,High_Risk,Not_Eligible,False,True
49.0,Female,Married,Post Graduate,80932.0,Private,13.3,Large Indian,Rented,23300.0,3,2,2100.0,0.0,9000.0,23600.0,7000.0,No,0.0,839.0,611700.0,159100.0,Education EMI,277000.0,35,Not_Eligible,9438.0,Not_Eligible,High_Risk,False,True
38.0,Female,Married,Graduate,35700.0,Government,2.4,MNC,Own,0.0,4,3,8700.0,0.0,4500.0,7400.0,4300.0,No,0.0,780.0,73600.0,43900.0,E-commerce Shopping EMI,90000.0,16,High_Risk,6480.0,High_Risk,Not_Eligible,False,True
58.0,Male,Married,Professional,86200.0,Self-employed,2.9,Large Indian,Rented,20800.0,3,2,13100.0,6100.0,4800.0,13300.0,4500.0,No,0.0,701.0,295400.0,100600.0,Education EMI,323000.0,35,High_Risk,12744.0,High_Risk,Not_Eligible,False,True
27.0,Male,Married,Graduate,114700.0,Private,0.7,Large Indian,Own,0.0,2,1,0.0,0.0,11200.0,19500.0,10800.0,No,0.0,701.0,430100.0,152100.0,Vehicle EMI,432000.0,18,High_Risk,29280.0,High_Risk,Eligible,False,True
48.0,Female,Married,Graduate,62100.0,Private,0.6,Startup,Own,0.0,5,4,5200.0,0.0,6500.0,12800.0,10000.0,Yes,11500.0,642.0,256500.0,75600.0,Vehicle EMI,136000.0,60,High_Risk,3606.4,High_Risk,Eligible,False,True
58.0,Female,Married,Post Graduate,145500.0,Private,7.8,Startup,Family,0.0,4,3,6600.0,20800.0,17700.0,25000.0,26200.0,No,0.0,780.0,955600.0,204100.0,Personal Loan EMI,924000.0,41,High_Risk,32472.0,High_Risk,Not_Eligible,False,True
32.0,Male,Married,Graduate,45700.0,Self-employed,4.1,Large Indian,Own,0.0,3,2,0.0,0.0,5900.0,9200.0,6700.0,No,0.0,632.0,314800.0,145500.0,Education EMI,213000.0,26,Not_Eligible,9464.4,Not_Eligible,High_Risk,False,True
38.0,Male,Single,Graduate,89700.0,Private,8.0,Large Indian,Family,0.0,1,0,0.0,0.0,7900.0,20600.0,12000.0,Yes,21200.0,707.0,574100.0,316400.0,Education EMI,262000.0,38,Eligible,10780.0,Eligible,High_Risk,False,True
27.0,Male,Single,Graduate,31800.0,Self-employed,0.6,Large Indian,Own,0.0,1,0,0.0,0.0,3100.0,7300.0,2300.0,No,0.0,715.0,58400.0,29100.0,Education EMI,213000.0,37,Not_Eligible,6876.0,Not_Eligible,High_Risk,False,True
48.0,Female,Married,Graduate,36900.0,Private,6.7,Mid-size,Own,0.0,5,4,2100.0,0.0,3800.0,8600.0,2000.0,No,0.0,694.0,271000.0,79500.0,Personal Loan EMI,400000.0,50,Not_Eligible,11220.0,Not_Eligible,High_Risk,False,True
58.0,Male,Married,Graduate,63800.0,Government,15.8,Large Indian,Family,0.0,3,2,0.0,0.0,7300.0,16500.0,9300.0,Yes,12000.0,811.0,300500.0,162200.0,E-commerce Shopping EMI,94000.0,12,High_Risk,8639.4,High_Risk,Not_Eligible,False,True
48.0,Female,Married,High School,65900.0,Private,2.7,Mid-size,Own,22320.0,3,2,0.0,15400.0,3700.0,10800.0,5500.0,Yes,11800.0,610.0,419400.0,210400.0,Home Appliances EMI,167000.0,35,High_Risk,5759.6,High_Risk,Not_Eligible,False,True
32.0,Female,Single,Graduate,62200.0,Private,0.5,Small,Own,0.0,3,2,0.0,0.0,4700.0,11000.0,12100.0,No,0.0,692.0,248100.0,99700.0,Home Appliances EMI,247000.0,25,High_Risk,13760.0,High_Risk,Eligible,False,True
48.0,Male,Married,Graduate,47700.0,Private,21.1,Large Indian,Own,0.0,3,2,8700.0,0.0,6200.0,10400.0,2900.0,No,0.0,690.0,63900.0,32300.0,Vehicle EMI,453000.0,80,High_Risk,7800.0,High_Risk,Not_Eligible,False,True
32.0,Male,Married,Graduate,47200.0,Private,7.6,Large Indian,Rented,9900.0,2,1,0.0,0.0,4300.0,8700.0,4500.0,Yes,6100.0,662.0,106300.0,22500.0,Personal Loan EMI,152000.0,59,High_Risk,4795.0,High_Risk,Not_Eligible,False,True
38.0,Female,Married,Graduate,64200.0,Private,4.2,Mid-size,Own,0.0,5,4,11400.0,10000.0,4500.0,13700.0,10200.0,No,0.0,731.0,422100.0,143700.0,Education EMI,120000.0,17,High_Risk,7920.0,High_Risk,Not_Eligible,False,True
27.0,Male,Married,Graduate,64400.0,Self-employed,1.5,Mid-size,Own,0.0,2,1,0.0,0.0,4400.0,10000.0,7200.0,Yes,9800.0,618.0,122100.0,28400.0,Home Appliances EMI,92000.0,19,High_Risk,6652.8,High_Risk,Eligible,False,True
38.0,FEMALE,Married,Post Graduate,83000.0,Private,0.5,Mid-size,Family,0.0,2,1,7500.0,0.0,10700.0,12700.0,13000.0,Yes,8800.0,751.0,426200.0,88200.0,Vehicle EMI,440000.0,72,High_Risk,10180.8,High_Risk,Eligible,False,True
48.0,Male,Married,Post Graduate,46200.0,Private,8.3,Mid-size,Own,0.0,2,1,0.0,0.0,5700.0,11000.0,3100.0,No,0.0,798.0,135700.0,39200.0,Vehicle EMI,927000.0,83,High_Risk,15840.0,High_Risk,Not_Eligible,False,True
32.0,Male,Married,Post Graduate,44200.0,Self-employed,0.5,MNC,Own,0.0,2,1,0.0,0.0,4500.0,12200.0,3700.0,No,0.0,778.0,92300.0,32700.0,Vehicle EMI,256000.0,22,High_Risk,12852.0,High_Risk,Not_Eligible,False,True
38.0,Female,Married,Post Graduate,66900.0,Self-employed,2.1,Large Indian,Own,0.0,4,3,10800.0,0.0,7100.0,18100.0,7300.0,No,0.0,648.0,314700.0,147700.0,Personal Loan EMI,188000.0,34,High_Risk,8496.0,High_Risk,Eligible,False,True
32.0,Female,Married,Post Graduate,50400.0,Private,1.4,Startup,Family,0.0,4,3,13500.0,0.0,4900.0,12500.0,3300.0,No,0.0,660.0,332700.0,115900.0,Home Appliances EMI,223000.0,29,High_Risk,8910.0,High_Risk,Not_Eligible,False,True
32.0,Male,Married,Post Graduate,33800.0,Government,0.5,MNC,Own,0.0,4,3,0.0,0.0,4200.0,8600.0,2400.0,Yes,9800.0,733.0,135000.0,40500.0,Home Appliances EMI,78000.0,36,High_Risk,3080.0,High_Risk,Eligible,False,True
32.0,Female,Single,Post Graduate,134400.0,Private,1.0,Mid-size,Rented,36600.0,1,0,0.0,0.0,8700.0,30100.0,15500.0,No,0.0,732.0,467200.0,167300.0,Personal Loan EMI,469000.0,37,Eligible,21750.0,Eligible,High_Risk,False,True
38.0,Male,Single,Graduate,18000.0,Private,1.4,Large Indian,Own,0.0,1,0,0.0,0.0,2100.0,4300.0,3100.0,No,0.0,619.0,132800.0,75500.0,Home Appliances EMI,50000.0,16,High_Risk,3740.0,High_Risk,Not_Eligible,False,True
