rank,feature,mean_absolute_shap,importance_percentage
1,numerical__requested_amount_per_month,1.3029477467037007,21.053890060539203
2,numerical__disposable_income,1.2206887990551194,19.724695666772988
3,numerical__requested_amount_to_income_ratio,0.566470128707955,9.15339839419433
4,numerical__expense_to_income_ratio,0.4130351467502374,6.674094638728212
5,numerical__current_emi_amount,0.38729437979684905,6.258158329016907
6,numerical__credit_score,0.37323578037926725,6.030990196379399
7,categorical__house_type_Rented,0.35561745131492234,5.746301601530113
8,numerical__bank_balance,0.3145452128940791,5.082629252089891
9,numerical__monthly_rent,0.23849259125717792,3.8537207722141997
10,numerical__years_of_employment,0.16954151593308528,2.739563766991236
11,categorical__employment_type_Government,0.11084694361504271,1.791138109967974
12,numerical__emi_to_income_ratio,0.08873451088184386,1.4338308204672028
13,numerical__requested_amount,0.0864510397885788,1.3969329867085978
14,numerical__requested_tenure,0.07714749318799408,1.2466001373695847
15,numerical__total_education_expenses,0.06242010484772858,1.0086252717011392
16,categorical__emi_scenario_Personal Loan EMI,0.056583818317828244,0.9143187001036289
17,numerical__emergency_fund,0.052703381454288,0.851616038912091
18,numerical__total_monthly_living_expenses,0.040990894194009135,0.662357935709389
19,numerical__monthly_salary,0.03951214576097832,0.6384633420735435
20,numerical__groceries_utilities,0.033692635000445365,0.5444278444349353
21,categorical__emi_scenario_Vehicle EMI,0.031643638548217126,0.5113188067557302
22,categorical__employment_type_Self-employed,0.02828781671659757,0.45709322166652067
23,categorical__employment_type_Private,0.027997106199628016,0.45239572916983084
24,categorical__existing_loans_Yes,0.02453147444406256,0.39639576281923755
25,categorical__existing_loans_No,0.018425703884693733,0.2977346903264652
26,numerical__total_monthly_expenses,0.015037301234268852,0.24298264285306173
27,numerical__travel_expenses,0.012324223611538655,0.19914294311131892
28,numerical__college_fees,0.008452177715405127,0.1365758687119064
29,categorical__emi_scenario_Home Appliances EMI,0.008180364179246084,0.1321837261093065
30,numerical__other_monthly_expenses,0.0052882188385666795,0.0854505319380042
31,categorical__house_type_Own,0.004204863478750012,0.06794496066718417
32,categorical__house_type_Family,0.0032674913322528927,0.05279828255358368
33,numerical__school_fees,0.002083080529169685,0.03365979070100172
34,categorical__emi_scenario_E-commerce Shopping EMI,0.0014526043217558528,0.023472139822247697
35,categorical__marital_status_Married,0.0011771791108026912,0.019021637393444337
36,categorical__emi_scenario_Education EMI,0.0010220432650496014,0.01651484995764928
37,categorical__education_Post Graduate,0.0006827580198368365,0.011032454926885957
38,numerical__age,0.000525781789683623,0.008495929344701404
39,numerical__family_size,0.0004941826209427622,0.007985329110457474
40,categorical__company_type_Small,0.0003501547535259685,0.005658031723498895
41,categorical__company_type_MNC,0.0003388472166165289,0.0054753170754639965
42,categorical__company_type_Large Indian,0.00033212793947461723,0.005366742558496608
43,categorical__education_High School,0.00029212377081637376,0.0047203287855539094
44,categorical__gender_Female,0.00021602702560149118,0.003490707327769282
45,categorical__education_Graduate,0.00021468395875287632,0.003469005166768406
46,categorical__gender_Male,0.00020633546090126196,0.0033341046257580635
47,categorical__company_type_Startup,0.00018002059778377463,0.002908891691137051
48,categorical__education_Professional,0.00013988288624855168,0.0022603200442063848
49,categorical__marital_status_Single,0.00013708988080082332,0.00221518881788996
50,categorical__company_type_Mid-size,0.00012687389155836108,0.0020501121178345713
51,categorical__gender_F,2.064235616008837e-05,0.00033355282150376685
52,categorical__gender_female,1.7921585390339257e-05,0.0002895888108125131
53,categorical__gender_M,1.0266234158096809e-05,0.00016588859058019854
54,categorical__gender_MALE,9.698946035599445e-06,0.00015672197450221297
55,categorical__gender_male,5.839374202935807e-06,9.43564642572861e-05
56,categorical__gender_FEMALE,3.588017800552819e-06,5.797756088009524e-05
