rank,feature,mean_absolute_shap,importance_percentage
1,numerical__requested_amount_per_month,1.2321484799029563,23.294538578075368
2,numerical__disposable_income,0.8982914038271254,16.982761495150747
3,numerical__requested_amount_to_income_ratio,0.5646000320046436,10.674117154898909
4,numerical__expense_to_income_ratio,0.3415173332867261,6.456599042313177
5,categorical__house_type_Rented,0.3016780077535458,5.70341164591249
6,numerical__current_emi_amount,0.298305839619555,5.639658695703768
7,numerical__credit_score,0.2966814886191839,5.608949322880893
8,numerical__bank_balance,0.2485732717149834,4.699433357170673
9,numerical__monthly_rent,0.2102605584231261,3.9751075211495133
10,numerical__years_of_employment,0.10467771990939513,1.978997843576792
11,categorical__employment_type_Government,0.10380935674560135,1.962580894200393
12,numerical__requested_amount,0.07398281268003351,1.398691401400989
13,numerical__emi_to_income_ratio,0.07337185002623114,1.387140769848951
14,numerical__total_education_expenses,0.06345316903351744,1.199621894650899
15,numerical__requested_tenure,0.06317255563618471,1.1943167226555504
16,numerical__total_monthly_living_expenses,0.05337633144654113,1.0091129700014059
17,numerical__monthly_salary,0.04720621584622654,0.8924630708804551
18,numerical__groceries_utilities,0.04509826474382368,0.8526109353005878
19,numerical__emergency_fund,0.04509670048677535,0.8525813620415589
20,categorical__emi_scenario_Personal Loan EMI,0.03443174114286499,0.6509536272981844
21,categorical__emi_scenario_Vehicle EMI,0.03125780177746198,0.5909483160895257
22,categorical__employment_type_Private,0.029934958679488533,0.5659391389642898
23,categorical__existing_loans_Yes,0.02278675722935317,0.43079791437977627
24,numerical__total_monthly_expenses,0.017213055541795346,0.32542359375104374
25,categorical__employment_type_Self-employed,0.015596033318473125,0.29485277604752197
26,categorical__existing_loans_No,0.01480416787118785,0.27988206390422204
27,numerical__college_fees,0.013489425972438377,0.25502604502324777
28,numerical__travel_expenses,0.012207653884599252,0.23079334106307214
29,categorical__emi_scenario_Home Appliances EMI,0.008018734776371477,0.15159920224083034
30,numerical__other_monthly_expenses,0.006062450862431401,0.11461442983212314
31,categorical__house_type_Own,0.003767910424948711,0.07123470603121872
32,categorical__house_type_Family,0.002932147111268996,0.05543407723509704
33,numerical__school_fees,0.0027194367939101225,0.05141265548723983
34,categorical__marital_status_Married,0.0017151295266296198,0.0324255977068742
35,categorical__emi_scenario_E-commerce Shopping EMI,0.000999636326891903,0.018898750727398536
36,categorical__education_Post Graduate,0.0008525343003161026,0.01611769480039456
37,categorical__emi_scenario_Education EMI,0.0008177495955380242,0.015460068174548522
38,numerical__family_size,0.000597653429201574,0.011299012326786784
39,categorical__company_type_Small,0.0005673771246132794,0.010726619829667335
40,numerical__age,0.0005181445604136727,0.009795847374276538
41,categorical__education_High School,0.0004817999912407782,0.009108730535266844
42,categorical__company_type_MNC,0.0003519145938294214,0.006653165763587866
43,categorical__company_type_Large Indian,0.0003142031032637004,0.005940206419687121
44,categorical__education_Graduate,0.0003111867368755576,0.005883180124285015
45,categorical__company_type_Startup,0.00027791656845224915,0.005254186756621351
46,categorical__gender_Male,0.000247284305294392,0.004675064639844759
47,categorical__marital_status_Single,0.00022670021042901987,0.004285909436752727
48,categorical__education_Professional,0.00022378018979457342,0.004230704618155502
49,categorical__gender_Female,0.00017812764667070932,0.003367614702993768
50,categorical__company_type_Mid-size,0.00010477286326721519,0.0019807965883346977
51,categorical__gender_F,5.1861822283026246e-05,0.0009804802258867318
52,categorical__gender_MALE,2.2043653554403774e-05,0.0004167490740768757
53,categorical__gender_female,1.7510510422977214e-05,0.00033104716454461687
54,categorical__gender_M,1.3762797732578208e-05,0.0002601943093327855
55,categorical__gender_FEMALE,1.0232338440648414e-05,0.00019344876566205804
56,categorical__gender_male,5.731879673470213e-06,0.00010836477450270769
