rank,feature,mean_absolute_shap,importance_percentage
1,numerical__requested_amount_per_month,2.37351823709849,22.1390746085143
2,numerical__disposable_income,1.5670244745119764,14.616475749939214
3,numerical__requested_amount_to_income_ratio,0.964263540996716,8.994202000526125
4,numerical__credit_score,0.6920074457838772,6.454723722951088
5,numerical__expense_to_income_ratio,0.6444685216675546,6.011302740811783
6,categorical__house_type_Rented,0.6310684238706719,5.886312858598266
7,numerical__current_emi_amount,0.5317664645589477,4.9600703500673795
8,numerical__bank_balance,0.5292652830839797,4.936740492129805
9,numerical__monthly_rent,0.42927555304500115,4.004082778016656
10,numerical__years_of_employment,0.31761671978652134,2.9625810943257522
11,numerical__requested_amount,0.20538505574115037,1.9157363113778827
12,numerical__emi_to_income_ratio,0.18382224955667534,1.7146084803692612
13,categorical__employment_type_Government,0.1836464608510598,1.712968805051782
14,numerical__requested_tenure,0.1671555605771429,1.5591493543227564
15,numerical__emergency_fund,0.12907449392656925,1.2039468694328659
16,categorical__existing_loans_Yes,0.12386654349342244,1.1553695290970154
17,numerical__groceries_utilities,0.12130850194442429,1.1315093068245377
18,numerical__total_education_expenses,0.11785880115094774,1.0993321016739293
19,numerical__monthly_salary,0.09835458364041415,0.9174058287272108
20,numerical__total_monthly_living_expenses,0.09629487982550736,0.8981938691488396
21,categorical__emi_scenario_Personal Loan EMI,0.08481512988959658,0.7911160989654079
22,categorical__employment_type_Private,0.06838971642141518,0.6379074787138527
23,categorical__emi_scenario_Vehicle EMI,0.06784866620492949,0.6328608138420577
24,numerical__travel_expenses,0.05453812057969901,0.5087062326507007
25,categorical__existing_loans_No,0.048936073718855444,0.45645294406243925
26,numerical__total_monthly_expenses,0.04209592889711235,0.39265125331717055
27,categorical__employment_type_Self-employed,0.04113238543905548,0.383663767915523
28,categorical__emi_scenario_Home Appliances EMI,0.031145844762940193,0.2905139594776682
29,numerical__other_monthly_expenses,0.030239719389307362,0.2820620432724452
30,numerical__college_fees,0.028869236075070782,0.26927881208872434
31,numerical__school_fees,0.01992800618827303,0.18587917670286855
32,categorical__house_type_Own,0.013409911241456567,0.12508141746198945
33,categorical__house_type_Family,0.011732998061267957,0.10943995095546687
34,categorical__marital_status_Married,0.0075517065731480785,0.07043880793977468
35,numerical__age,0.0067816655931488825,0.06325622368937685
36,numerical__family_size,0.006743056231777552,0.06289609351694897
37,categorical__emi_scenario_E-commerce Shopping EMI,0.006619222957793854,0.061741034310370854
38,categorical__education_Graduate,0.005301709733707668,0.04945188350047214
39,categorical__emi_scenario_Education EMI,0.004755314807598784,0.044355365662199345
40,categorical__education_High School,0.004531354067833387,0.042266364006536716
41,categorical__company_type_Mid-size,0.00376409843520277,0.03510976018141632
42,categorical__company_type_Large Indian,0.003651326361328944,0.03405787470683848
43,categorical__education_Professional,0.003260498627588572,0.030412415311956393
44,categorical__gender_Female,0.0031677520238788896,0.029547318112734932
45,categorical__education_Post Graduate,0.002680467981721837,0.025002159117857675
46,categorical__gender_Male,0.0026598160555411894,0.024809527552034187
47,categorical__company_type_Startup,0.0026323809544271113,0.024553625684096903
48,categorical__company_type_MNC,0.0023460775950874444,0.0218831210576662
49,categorical__gender_MALE,0.0013441451600728301,0.012537561126938563
50,categorical__marital_status_Single,0.0012262152467548187,0.011437565724032064
51,categorical__company_type_Small,0.0009737185322290232,0.009082393762882578
52,categorical__gender_M,0.0003379717725571876,0.0031524435630047015
53,categorical__gender_male,0.00032695343384361603,0.003049669622181798
54,categorical__gender_FEMALE,0.00012636140057872489,0.0011786403960681545
55,categorical__gender_female,3.71827675925923e-05,0.0003468235689184173
56,categorical__gender_F,3.48715418001103e-06,3.2526552927199245e-05
