rank,feature,mean_absolute_shap,importance_percentage
1,numerical__requested_amount_per_month,2.0675899956807235,22.631427468478865
2,numerical__disposable_income,1.1270565634123324,12.336536218991272
3,numerical__requested_amount_to_income_ratio,0.9282567751072309,10.16051341022614
4,categorical__house_type_Rented,0.5380152907034458,5.889008001549563
5,numerical__expense_to_income_ratio,0.5255815670767697,5.752910944101967
6,numerical__credit_score,0.5247011501144718,5.74327407573547
7,numerical__current_emi_amount,0.4250316950358639,4.652312111251943
8,numerical__bank_balance,0.4097677208211706,4.485235695694597
9,numerical__monthly_rent,0.3786660497862306,4.144803011436037
10,numerical__years_of_employment,0.22588841897732395,2.472529554086744
11,categorical__employment_type_Government,0.17255679598892334,1.8887722521266563
12,numerical__requested_amount,0.17101211830703664,1.8718645184885432
13,numerical__requested_tenure,0.1637045204060178,1.791877010224717
14,numerical__emi_to_income_ratio,0.1580246329318247,1.7297060954544503
15,numerical__groceries_utilities,0.1335581698408128,1.461901073176738
16,numerical__total_education_expenses,0.12246439729122026,1.3404708528079046
17,categorical__existing_loans_Yes,0.11553585899156885,1.2646324552925818
18,numerical__emergency_fund,0.11440009137715251,1.2522005696477454
19,numerical__total_monthly_living_expenses,0.11402233701497103,1.2480657457868876
20,numerical__monthly_salary,0.10436735289908808,1.1423842164776976
21,categorical__employment_type_Private,0.07870909510415132,0.8615340472145877
22,categorical__emi_scenario_Vehicle EMI,0.07420001321263202,0.8121785366972556
23,categorical__emi_scenario_Personal Loan EMI,0.057529624751757616,0.6297077914761103
24,numerical__travel_expenses,0.057501837709731475,0.6294036400594891
25,categorical__existing_loans_No,0.04382576380589575,0.4797080644111298
26,numerical__college_fees,0.03859954030760889,0.4225028649844426
27,numerical__total_monthly_expenses,0.03848249673384349,0.4212217293841269
28,categorical__employment_type_Self-employed,0.037531964822380165,0.41081739677674534
29,categorical__emi_scenario_Home Appliances EMI,0.028952715506506688,0.3169106459065067
30,numerical__other_monthly_expenses,0.02894879931867239,0.3168677800960172
31,numerical__school_fees,0.021811207466039904,0.2387411241101068
32,categorical__house_type_Family,0.014054798660241416,0.1538410212507361
33,categorical__house_type_Own,0.012703937091375683,0.13905476010630885
34,categorical__marital_status_Married,0.010250365865727707,0.11219845912400637
35,numerical__family_size,0.008228567438673355,0.09006825702719237
36,numerical__age,0.007886327901426576,0.08632217135245673
37,categorical__education_High School,0.007255889098957688,0.07942151403587311
38,categorical__emi_scenario_E-commerce Shopping EMI,0.005968010497002812,0.06532465187788435
39,categorical__education_Graduate,0.005854623897107874,0.06408354478374072
40,categorical__emi_scenario_Education EMI,0.004277509538508958,0.04682076575564973
41,categorical__education_Professional,0.004113093104683068,0.04502109628320603
42,categorical__company_type_Mid-size,0.003870633632790652,0.042367183290958114
43,categorical__company_type_Large Indian,0.0038374226599556037,0.042003662610144134
44,categorical__company_type_Startup,0.003794971858724962,0.041539004611683576
45,categorical__gender_Female,0.003724650426882705,0.04076928025262677
46,categorical__gender_Male,0.0033211629065622588,0.03635278637828774
47,categorical__company_type_MNC,0.0029631325678850205,0.032433857742428705
48,categorical__education_Post Graduate,0.0027349011016990893,0.029935681661193165
49,categorical__marital_status_Single,0.0015740209721627537,0.017228919437500868
50,categorical__company_type_Small,0.0014854309414409888,0.016259230640931772
51,categorical__gender_MALE,0.000758962515383276,0.008307452228958869
52,categorical__gender_M,0.0004911740049341249,0.005376292635527654
53,categorical__gender_male,0.0002581284218640515,0.0028254221916206674
54,categorical__gender_FEMALE,0.000141184281850014,0.0015453749733035907
55,categorical__gender_female,7.31815282222531e-05,0.0008010304032493058
56,categorical__gender_F,7.279247596486279e-06,7.967719148821873e-05
