age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi,actual_max_monthly_emi,predicted_max_monthly_emi,absolute_error,signed_error
38.0,Male,Married,Graduate,51700.0,Private,3.4,Large Indian,Family,0.0,4,3,6900.0,0.0,8700.0,15300.0,7900.0,No,0.0,681.0,241000.0,67400.0,Vehicle EMI,107000.0,22,Eligible,27150.0,27150.0,8943.6455,18206.3544921875,-18206.3544921875
38.0,Female,Married,Graduate,51700.0,Private,3.9,Large Indian,Own,0.0,4,3,7400.0,14500.0,6300.0,14600.0,12800.0,No,0.0,802.0,195900.0,315200.0,Personal Loan EMI,485000.0,19,Not_Eligible,21252.0,21252.0,3248.6345,18003.365478515625,-18003.365478515625
48.0,Male,Married,Post Graduate,51700.0,Private,13.2,Large Indian,Own,0.0,4,3,7700.0,0.0,10800.0,22600.0,17200.0,No,0.0,761.0,662300.0,206100.0,Vehicle EMI,163000.0,63,Eligible,41940.0,41940.0,24299.986,17640.013671875,-17640.013671875
32.0,Female,Married,Post Graduate,51700.0,Private,0.5,MNC,Family,0.0,4,3,8700.0,10600.0,10500.0,20200.0,14900.0,No,0.0,826.0,107700.0,52000.0,Home Appliances EMI,62000.0,35,Eligible,20313.6,20313.6,7681.664,12631.935937499999,-12631.935937499999
32.0,Male,Married,Post Graduate,51700.0,Private,10.0,MNC,Own,0.0,3,2,0.0,0.0,6800.0,24200.0,7000.0,No,0.0,799.0,266700.0,102400.0,E-commerce Shopping EMI,25000.0,24,Eligible,32580.0,32580.0,20872.197,11707.802734375,-11707.802734375
38.0,Male,Married,Post Graduate,51700.0,Private,0.6,Small,Family,0.0,5,4,0.0,0.0,7900.0,17200.0,10200.0,Yes,15700.0,704.0,410800.0,178900.0,E-commerce Shopping EMI,134000.0,11,Eligible,17584.0,17584.0,5886.4985,11697.50146484375,-11697.50146484375
48.0,Female,Married,Graduate,51700.0,Private,9.1,Mid-size,Own,0.0,4,3,0.0,11600.0,7700.0,15000.0,4700.0,No,0.0,701.0,173300.0,99700.0,E-commerce Shopping EMI,160000.0,6,Not_Eligible,17900.0,17900.0,6642.902,11257.09814453125,-11257.09814453125
58.0,Male,Married,Graduate,51700.0,Private,2.3,Startup,Family,0.0,2,1,12900.0,0.0,6700.0,17300.0,13900.0,No,0.0,708.0,52200.0,25000.0,Personal Loan EMI,338000.0,55,Eligible,15280.0,15280.0,4435.0894,10844.91064453125,-10844.91064453125
32.0,Female,Married,Post Graduate,51700.0,Private,10.0,Mid-size,Own,0.0,3,2,0.0,0.0,8700.0,20200.0,15800.0,No,0.0,769.0,269300.0,91000.0,Personal Loan EMI,224000.0,51,Eligible,27000.0,27000.0,16491.275,10508.724609375,-10508.724609375
32.0,Female,Single,Post Graduate,51700.0,Government,1.2,Small,Rented,29300.0,1,0,0.0,0.0,7400.0,20600.0,14000.0,No,0.0,819.0,629400.0,74000.0,Home Appliances EMI,226000.0,13,Eligible,29400.0,29400.0,18978.713,10421.287109375,-10421.287109375
48.0,Male,Married,Graduate,51700.0,Private,24.3,Small,Family,0.0,3,2,7900.0,7800.0,5100.0,12100.0,14800.0,No,0.0,772.0,371800.0,176800.0,Vehicle EMI,649000.0,75,Eligible,17160.0,17160.0,6990.5474,10169.45263671875,-10169.45263671875
48.0,Male,Married,Post Graduate,51700.0,Private,0.5,Large Indian,Family,0.0,3,2,0.0,0.0,13500.0,26000.0,17600.0,No,0.0,839.0,531800.0,176000.0,Education EMI,478000.0,28,High_Risk,23280.0,23280.0,33262.027,9982.02734375,9982.02734375
58.0,Female,Married,Graduate,51700.0,Private,4.0,Large Indian,Family,0.0,5,4,10500.0,0.0,1700.0,8200.0,2300.0,No,0.0,776.0,219600.0,52700.0,E-commerce Shopping EMI,180000.0,15,Not_Eligible,3366.0,3366.0,12241.922,8875.921875,8875.921875
58.0,Male,Single,Professional,51700.0,Private,8.1,Mid-size,Family,0.0,1,0,0.0,0.0,9400.0,16500.0,13000.0,No,0.0,732.0,149900.0,61000.0,E-commerce Shopping EMI,89000.0,11,Eligible,21680.0,21680.0,13078.683,8601.3173828125,-8601.3173828125
38.0,Male,Married,Graduate,51700.0,Private,1.9,Mid-size,Rented,17500.0,2,1,0.0,0.0,5300.0,13300.0,10000.0,No,0.0,655.0,401300.0,235800.0,E-commerce Shopping EMI,150000.0,21,Eligible,12750.0,12750.0,4292.991,8457.0087890625,-8457.0087890625
27.0,Female,Single,Graduate,51700.0,Private,1.7,Startup,Rented,14600.0,2,1,2600.0,0.0,3800.0,10800.0,7000.0,No,0.0,662.0,274100.0,72900.0,Vehicle EMI,1363000.0,39,Not_Eligible,14500.0,14500.0,6248.2896,8251.71044921875,-8251.71044921875
32.0,Male,Married,Professional,191900.0,Self-employed,3.0,Mid-size,Own,0.0,5,4,0.0,0.0,10500.0,41400.0,14600.0,No,0.0,650.0,284400.0,66600.0,Education EMI,463000.0,40,Eligible,45144.0,45144.0,37110.348,8033.65234375,-8033.65234375
38.0,Male,Married,Professional,182100.0,Private,4.0,Large Indian,Own,0.0,3,2,0.0,23000.0,9200.0,41500.0,34500.0,No,0.0,750.0,335900.0,141300.0,Home Appliances EMI,223000.0,22,Eligible,35472.0,35472.0,43353.363,7881.36328125,7881.36328125
