feature,importance
numerical__disposable_income,0.64404964
categorical__existing_loans_No,0.14626335
numerical__current_emi_amount,0.06073398
numerical__credit_score,0.040762454
categorical__employment_type_Government,0.019836757
categorical__employment_type_Private,0.012631466
categorical__house_type_Rented,0.012226786
numerical__years_of_employment,0.01179131
numerical__monthly_rent,0.0102382
numerical__bank_balance,0.008865938
categorical__employment_type_Self-employed,0.0071039
numerical__groceries_utilities,0.0035147113
numerical__expense_to_income_ratio,0.0028739905
numerical__monthly_salary,0.0022370887
numerical__total_education_expenses,0.0020568452
numerical__total_monthly_expenses,0.0016817519
numerical__total_monthly_living_expenses,0.0016687908
numerical__emergency_fund,0.0015399676
numerical__emi_to_income_ratio,0.0014593557
numerical__travel_expenses,0.000859367
numerical__other_monthly_expenses,0.0005513458
numerical__school_fees,0.0004344423
categorical__house_type_Family,0.00036030874
categorical__emi_scenario_Home Appliances EMI,0.000354892
categorical__house_type_Own,0.00035100296
numerical__college_fees,0.00030464234
categorical__gender_Male,0.00025484257
categorical__company_type_Startup,0.00025286363
numerical__age,0.00024643325
numerical__requested_amount,0.00024467017
categorical__emi_scenario_Education EMI,0.00023589234
categorical__company_type_MNC,0.00023114629
numerical__requested_amount_per_month,0.00022755258
categorical__education_Post Graduate,0.00021836386
numerical__requested_tenure,0.00021303109
numerical__requested_amount_to_income_ratio,0.00020837672
categorical__gender_MALE,0.00020764244
categorical__emi_scenario_Personal Loan EMI,0.0002033319
categorical__education_Professional,0.0002004183
categorical__gender_FEMALE,0.00019605951
categorical__gender_male,0.00019203425
categorical__emi_scenario_Vehicle EMI,0.00018382494
categorical__gender_Female,0.00017357164
categorical__company_type_Large Indian,0.00017171029
categorical__education_Graduate,0.00017113239
categorical__emi_scenario_E-commerce Shopping EMI,0.00016938463
numerical__family_size,0.0001686222
categorical__company_type_Mid-size,0.00016689682
categorical__company_type_Small,0.00016094929
categorical__gender_M,0.0001389065
categorical__education_High School,0.00013149365
categorical__gender_female,0.00012770259
categorical__marital_status_Married,0.0001136349
categorical__gender_F,3.7162674e-05
categorical__marital_status_Single,0.0
categorical__existing_loans_Yes,0.0
