rank,feature,mean_absolute_shap,importance_percentage
1,numerical__disposable_income,3939.288,36.78173
2,categorical__house_type_Rented,925.4458,8.641027
3,numerical__monthly_rent,761.59283,7.1111073
4,numerical__credit_score,701.6849,6.5517383
5,numerical__bank_balance,694.793,6.487388
6,numerical__expense_to_income_ratio,655.5508,6.1209774
7,numerical__current_emi_amount,490.94852,4.5840607
8,numerical__monthly_salary,409.31885,3.8218722
9,categorical__existing_loans_No,364.43735,3.4028068
10,numerical__years_of_employment,338.4676,3.1603231
11,numerical__groceries_utilities,264.2388,2.4672377
12,categorical__employment_type_Government,191.24316,1.7856665
13,numerical__travel_expenses,147.32077,1.3755563
14,numerical__total_education_expenses,125.406784,1.1709422
15,numerical__other_monthly_expenses,100.41109,0.9375535
16,categorical__existing_loans_Yes,96.879654,0.90458
17,numerical__emergency_fund,94.68695,0.8841064
18,numerical__total_monthly_expenses,89.043144,0.83140934
19,numerical__total_monthly_living_expenses,71.65427,0.6690467
20,categorical__employment_type_Self-employed,55.073303,0.5142278
21,categorical__employment_type_Private,38.771442,0.36201483
22,categorical__house_type_Own,36.639652,0.34210998
23,numerical__college_fees,31.214912,0.29145837
24,numerical__school_fees,22.123308,0.20656867
25,numerical__emi_to_income_ratio,21.567503,0.20137905
26,categorical__house_type_Family,21.34838,0.19933304
27,numerical__family_size,4.1395936,0.038652014
28,numerical__requested_amount_to_income_ratio,3.1359932,0.029281244
29,categorical__emi_scenario_Vehicle EMI,2.526405,0.023589427
30,numerical__requested_tenure,1.6878127,0.015759364
31,numerical__requested_amount,1.6081862,0.015015879
32,numerical__age,1.5080742,0.014081117
33,numerical__requested_amount_per_month,1.1891062,0.011102865
34,categorical__emi_scenario_Home Appliances EMI,0.73114413,0.006826803
35,categorical__company_type_MNC,0.7204776,0.0067272084
36,categorical__gender_Female,0.65336776,0.006100594
37,categorical__company_type_Large Indian,0.46161625,0.004310181
38,categorical__education_Professional,0.4163076,0.0038871272
39,categorical__education_Graduate,0.40458018,0.0037776262
40,categorical__marital_status_Married,0.29601154,0.0027639046
41,categorical__emi_scenario_Education EMI,0.23684199,0.0022114296
42,numerical__dependents,0.22985236,0.0021461663
43,categorical__emi_scenario_Personal Loan EMI,0.1863124,0.0017396272
44,categorical__company_type_Mid-size,0.18494739,0.0017268818
45,categorical__gender_Male,0.13674477,0.0012768066
46,categorical__education_Post Graduate,0.10974502,0.0010247058
47,categorical__company_type_Startup,0.051959056,0.00048514956
48,categorical__emi_scenario_E-commerce Shopping EMI,0.051414113,0.00048006137
49,categorical__company_type_Small,0.03095234,0.0002890067
50,categorical__education_High School,0.018583179,0.00017351395
51,categorical__gender_MALE,0.016471926,0.00015380088
52,categorical__gender_FEMALE,0.0074229203,6.930893e-05
53,categorical__gender_male,0.0063282843,5.908815e-05
54,categorical__gender_M,0.0052122525,4.866759e-05
55,categorical__marital_status_Single,0.0022473729,2.098406e-05
56,categorical__gender_F,0.0,0.0
57,categorical__gender_female,0.0,0.0
